ISO3,Year,mean_st
PAK,2000,0.714
PLW,2000,0.546
PAN,2000,-0.046
PNG,2000,0.286
PRY,2000,0.046
PER,2000,0.378
PHL,2000,0.642
PCN,2000,0.361
POL,2000,1.889
PRT,2000,0.658
PRI,2000,0.169
QAT,2000,1.015
ROU,2000,1.343
RUS,2000,1.327
RWA,2000,0.349
SHN,2000,1.483
SPM,2000,1.148
WSM,2000,0.6
SMR,2000,1.426
STP,2000,0.4
SAU,2000,0.712
SEN,2000,0.961
SRB,2000,
SYC,2000,0.419
SLE,2000,
SGP,2000,0.59
SVK,2000,1.65
SVN,2000,1.832
SLB,2000,0.343
SOM,2000,0.617
ZAF,2000,0.27
SSD,2000,
ESP,2000,0.837
LKA,2000,0.582
KNA,2000,0.186
LCA,2000,0.181
VCT,2000,0.236
SDN,2000,
SUR,2000,0.613
SWE,2000,1.739
CHE,2000,1.411
SYR,2000,0.633
TWN,2000,0.335
TJK,2000,0.945
TZA,2000,0.454
THA,2000,0.076
TLS,2000,
TGO,2000,0.54
TKL,2000,
TON,2000,0.393
TTO,2000,0.353
TUN,2000,1.068
TUR,2000,0.516
TKM,2000,1.289
TCA,2000,
TUV,2000,0.418
UGA,2000,0.41
UKR,2000,1.424
ARE,2000,0.835
GBR,2000,0.716
USA,2000,1.0
VIR,2000,0.058
URY,2000,0.402
UZB,2000,1.386
VUT,2000,0.842
VEN,2000,0.082
VNM,2000,0.178
WLF,2000,0.464
PSE,2000,0.15
ESH,2000,0.926
WLD,2000,0.732
YEM,2000,
ZMB,2000,0.113
ZWE,2000,-0.287
AFG,2001,1.355
ALB,2001,1.573
DZA,2001,1.897
ASM,2001,0.962
AND,2001,1.409
AGO,2001,0.326
AIA,2001,0.471
ATG,2001,
ARG,2001,0.392
ARM,2001,1.461
ABW,2001,
AUS,2001,0.304
AUT,2001,1.523
AZE,2001,1.393
BHS,2001,0.248
BHR,2001,1.24
BGD,2001,0.461
BRB,2001,0.395
BLR,2001,1.979
BEL,2001,1.341
BLZ,2001,0.339
BEN,2001,0.55
BTN,2001,0.655
BOL,2001,0.822
BIH,2001,1.549
BWA,2001,-0.055
BRA,2001,0.759
VGB,2001,0.48
BRN,2001,0.432
BGR,2001,1.646
BFA,2001,0.578
BDI,2001,0.436
CPV,2001,1.415
KHM,2001,0.611
CMR,2001,0.284
CAN,2001,1.424
CYM,2001,
CAF,2001,0.518
TCD,2001,0.294
CHL,2001,-0.019
HKG,2001,0.813
MAC,2001,0.813
CHN,2001,1.046
COL,2001,0.344
COM,2001,0.22
COD,2001,0.39
COG,2001,0.373
COK,2001,0.624
CRI,2001,0.454
HRV,2001,1.612
CUB,2001,0.521
CYP,2001,1.218
CZE,2001,1.246
DNK,2001,1.04
DJI,2001,0.893
DMA,2001,0.395
DOM,2001,0.795
ECU,2001,0.428
EGY,2001,0.722
SLV,2001,0.482
GNQ,2001,0.354
ERI,2001,0.484
EST,2001,1.824
SWZ,2001,0.383
ETH,2001,0.732
FLK,2001,
FRO,2001,0.474
FJI,2001,0.656
FIN,2001,1.386
FRA,2001,1.362
PYF,2001,0.362
GAB,2001,0.257
GMB,2001,1.411
GEO,2001,1.288
DEU,2001,1.29
GHA,2001,0.612
GIB,2001,1.299
GRC,2001,1.334
GRL,2001,0.818
GRD,2001,0.466
GLP,2001,0.434
GTM,2001,0.455
GUF,2001,0.652
GIN,2001,0.962
GNB,2001,1.415
GUY,2001,0.691
HTI,2001,0.627
VAT,2001,1.583
HND,2001,0.39
HUN,2001,1.42
ISL,2001,0.623
IND,2001,0.472
IDN,2001,0.515
IRN,2001,1.491
IRQ,2001,1.171
IRL,2001,0.538
IMN,2001,0.51
ISR,2001,0.769
ITA,2001,1.553
JAM,2001,0.549
JPN,2001,0.383
JOR,2001,0.864
KAZ,2001,1.632
KEN,2001,0.59
KIR,2001,0.353
PRK,2001,0.909
KOR,2001,0.898
KWT,2001,1.301
KGZ,2001,1.436
LAO,2001,0.721
LVA,2001,1.814
LBN,2001,1.105
LSO,2001,0.558
LBR,2001,0.691
LBY,2001,1.218
LIE,2001,1.445
LTU,2001,1.809
LUX,2001,1.43
MDG,2001,0.593
MWI,2001,0.587
MYS,2001,0.575
MDV,2001,0.475
MLI,2001,0.641
MLT,2001,1.677
MHL,2001,0.192
MTQ,2001,0.39
MRT,2001,1.342
MUS,2001,0.77
MYT,2001,0.318
MEX,2001,0.495
FSM,2001,0.178
MDA,2001,1.68
MCO,2001,1.378
MNG,2001,1.718
MNE,2001,
MSR,2001,
MAR,2001,1.812
MOZ,2001,0.422
MMR,2001,0.691
NAM,2001,0.182
NRU,2001,
NPL,2001,0.534
NLD,2001,1.274
NCL,2001,0.586
NZL,2001,0.565
NIC,2001,0.47
NER,2001,0.373
NGA,2001,0.249
NIU,2001,
NFK,2001,0.76
MKD,2001,1.621
NOR,2001,0.632
OMN,2001,0.835
PAK,2001,0.803
PLW,2001,
PAN,2001,0.343
PNG,2001,0.449
PRY,2001,0.579
PER,2001,0.444
PHL,2001,0.738
PCN,2001,0.118
POL,2001,1.287
PRT,2001,1.166
PRI,2001,0.651
QAT,2001,1.038
ROU,2001,1.536
RUS,2001,0.823
RWA,2001,0.336
SHN,2001,1.099
SPM,2001,0.573
WSM,2001,0.877
SMR,2001,1.704
STP,2001,0.246
SAU,2001,0.833
SEN,2001,1.176
SRB,2001,
SYC,2001,0.762
SLE,2001,1.258
SGP,2001,0.601
SVK,2001,1.267
SVN,2001,1.761
SLB,2001,
SOM,2001,1.041
ZAF,2001,0.515
SSD,2001,
ESP,2001,1.44
LKA,2001,0.823
KNA,2001,
LCA,2001,0.418
VCT,2001,0.465
SDN,2001,
SUR,2001,0.598
SWE,2001,1.087
CHE,2001,1.44
SYR,2001,1.128
TWN,2001,0.739
TJK,2001,1.458
TZA,2001,0.355
THA,2001,0.68
TLS,2001,
TGO,2001,0.675
TKL,2001,
TON,2001,0.658
TTO,2001,0.504
TUN,2001,2.039
TUR,2001,1.512
TKM,2001,1.515
TCA,2001,
TUV,2001,0.684
UGA,2001,0.341
UKR,2001,1.795
ARE,2001,0.702
GBR,2001,0.626
USA,2001,0.784
VIR,2001,0.508
URY,2001,1.312
UZB,2001,1.552
VUT,2001,0.575
VEN,2001,0.428
VNM,2001,0.716
WLF,2001,0.677
PSE,2001,0.764
ESH,2001,1.345
WLD,2001,0.835
YEM,2001,
ZMB,2001,0.332
ZWE,2001,0.157
AFG,2002,1.361
ALB,2002,0.533
DZA,2002,1.291
ASM,2002,1.211
AND,2002,0.766
AGO,2002,0.759
AIA,2002,0.573
ATG,2002,0.499
ARG,2002,0.259
ARM,2002,1.262
ABW,2002,
AUS,2002,0.687
AUT,2002,1.556
AZE,2002,1.421
BHS,2002,0.969
BHR,2002,1.584
BGD,2002,0.52
BRB,2002,0.372
BLR,2002,1.89
BEL,2002,1.402
BLZ,2002,0.643
BEN,2002,0.74
BTN,2002,0.458
BOL,2002,1.125
BIH,2002,1.163
BWA,2002,0.532
BRA,2002,1.059
VGB,2002,0.647
BRN,2002,0.552
BGR,2002,0.848
BFA,2002,1.075
BDI,2002,0.878
CPV,2002,1.445
KHM,2002,0.669
CMR,2002,0.851
CAN,2002,0.554
CYM,2002,
CAF,2002,0.896
TCD,2002,0.781
CHL,2002,0.046
HKG,2002,0.903
MAC,2002,0.903
CHN,2002,1.141
COL,2002,0.567
COM,2002,0.675
COD,2002,0.842
COG,2002,0.767
COK,2002,0.512
CRI,2002,0.507
HRV,2002,1.276
CUB,2002,0.848
CYP,2002,0.888
CZE,2002,1.549
DNK,2002,1.647
DJI,2002,1.472
DMA,2002,0.522
DOM,2002,0.871
ECU,2002,0.727
EGY,2002,0.838
SLV,2002,0.68
GNQ,2002,0.623
ERI,2002,1.07
EST,2002,1.472
SWZ,2002,0.344
ETH,2002,1.094
FLK,2002,
FRO,2002,1.045
FJI,2002,0.639
FIN,2002,1.19
FRA,2002,1.023
PYF,2002,0.661
GAB,2002,0.647
GMB,2002,1.531
GEO,2002,1.038
DEU,2002,1.488
GHA,2002,0.871
GIB,2002,0.883
GRC,2002,0.465
GRL,2002,1.173
GRD,2002,0.421
GLP,2002,0.544
GTM,2002,0.702
GUF,2002,0.819
GIN,2002,1.308
GNB,2002,1.51
GUY,2002,0.79
HTI,2002,0.854
VAT,2002,0.854
HND,2002,0.804
HUN,2002,1.453
ISL,2002,0.834
IND,2002,0.832
IDN,2002,0.608
IRN,2002,1.666
IRQ,2002,1.048
IRL,2002,0.821
IMN,2002,0.889
ISR,2002,0.647
ITA,2002,0.938
JAM,2002,0.794
JPN,2002,0.599
JOR,2002,0.547
KAZ,2002,2.246
KEN,2002,0.72
KIR,2002,0.454
PRK,2002,0.913
KOR,2002,0.655
KWT,2002,1.631
KGZ,2002,1.425
LAO,2002,0.601
LVA,2002,1.716
LBN,2002,0.792
LSO,2002,0.485
LBR,2002,1.033
LBY,2002,0.825
LIE,2002,1.395
LTU,2002,1.92
LUX,2002,1.391
MDG,2002,0.569
MWI,2002,0.684
MYS,2002,0.674
MDV,2002,0.634
MLI,2002,1.286
MLT,2002,0.934
MHL,2002,0.352
MTQ,2002,0.535
MRT,2002,1.28
MUS,2002,0.674
MYT,2002,0.764
MEX,2002,0.656
FSM,2002,0.067
MDA,2002,1.419
MCO,2002,0.91
MNG,2002,1.815
MNE,2002,
MSR,2002,0.499
MAR,2002,1.199
MOZ,2002,0.503
MMR,2002,0.734
NAM,2002,0.583
NRU,2002,
NPL,2002,0.633
NLD,2002,1.531
NCL,2002,0.584
NZL,2002,0.412
NIC,2002,0.613
NER,2002,0.727
NGA,2002,0.779
NIU,2002,
NFK,2002,0.594
MKD,2002,0.395
NOR,2002,1.404
OMN,2002,0.956
PAK,2002,1.019
PLW,2002,
PAN,2002,0.509
PNG,2002,0.737
PRY,2002,1.073
PER,2002,0.756
PHL,2002,0.64
PCN,2002,0.458
POL,2002,1.701
PRT,2002,0.671
PRI,2002,0.785
QAT,2002,1.506
ROU,2002,1.216
RUS,2002,1.597
RWA,2002,0.653
SHN,2002,1.2
SPM,2002,0.003
WSM,2002,1.125
SMR,2002,1.146
STP,2002,0.617
SAU,2002,1.035
SEN,2002,1.44
SRB,2002,
SYC,2002,0.534
SLE,2002,1.419
SGP,2002,0.796
SVK,2002,1.407
SVN,2002,1.556
SLB,2002,
SOM,2002,1.038
ZAF,2002,0.453
SSD,2002,
ESP,2002,0.842
LKA,2002,0.972
KNA,2002,0.499
LCA,2002,0.477
VCT,2002,0.424
SDN,2002,
SUR,2002,0.935
SWE,2002,1.583
CHE,2002,1.252
SYR,2002,0.833
TWN,2002,0.896
TJK,2002,1.227
TZA,2002,0.584
THA,2002,0.673
TLS,2002,
TGO,2002,0.738
TKL,2002,
TON,2002,0.816
TTO,2002,0.364
TUN,2002,1.303
TUR,2002,0.784
TKM,2002,1.759
TCA,2002,
TUV,2002,0.708
UGA,2002,0.736
UKR,2002,1.54
ARE,2002,1.231
GBR,2002,1.007
USA,2002,0.953
VIR,2002,0.669
URY,2002,0.673
UZB,2002,1.82
VUT,2002,0.554
VEN,2002,0.432
VNM,2002,0.72
WLF,2002,0.784
PSE,2002,0.642
ESH,2002,1.298
WLD,2002,1.015
YEM,2002,
ZMB,2002,0.74
ZWE,2002,0.524
AFG,2003,0.632
ALB,2003,1.016
DZA,2003,1.635
ASM,2003,0.702
AND,2003,1.909
AGO,2003,0.948
AIA,2003,0.689
ATG,2003,0.65
ARG,2003,0.593
ARM,2003,0.155
ABW,2003,0.824
AUS,2003,0.778
AUT,2003,1.487
AZE,2003,-0.162
BHS,2003,1.117
BHR,2003,1.267
BGD,2003,0.373
BRB,2003,0.76
BLR,2003,0.084
BEL,2003,1.532
BLZ,2003,0.881
BEN,2003,0.994
BTN,2003,0.502
BOL,2003,0.901
BIH,2003,1.11
BWA,2003,1.105
BRA,2003,0.975
VGB,2003,0.727
BRN,2003,0.725
BGR,2003,0.173
BFA,2003,1.054
BDI,2003,0.947
CPV,2003,0.956
KHM,2003,0.657
CMR,2003,0.983
CAN,2003,1.257
CYM,2003,
CAF,2003,0.964
TCD,2003,0.835
CHL,2003,0.246
HKG,2003,0.902
MAC,2003,0.902
CHN,2003,0.831
COL,2003,0.621
COM,2003,0.352
COD,2003,0.882
COG,2003,0.868
COK,2003,0.467
CRI,2003,0.724
HRV,2003,1.292
CUB,2003,0.912
CYP,2003,0.648
CZE,2003,1.101
DNK,2003,0.711
DJI,2003,1.312
DMA,2003,0.609
DOM,2003,1.054
ECU,2003,0.756
EGY,2003,0.73
SLV,2003,0.875
GNQ,2003,0.908
ERI,2003,0.647
EST,2003,0.229
SWZ,2003,0.376
ETH,2003,1.109
FLK,2003,
FRO,2003,1.614
FJI,2003,0.539
FIN,2003,0.732
FRA,2003,1.771
PYF,2003,0.565
GAB,2003,0.868
GMB,2003,1.202
GEO,2003,-0.251
DEU,2003,1.259
GHA,2003,1.038
GIB,2003,1.424
GRC,2003,0.409
GRL,2003,2.314
GRD,2003,0.746
GLP,2003,0.678
GTM,2003,0.887
GUF,2003,0.954
GIN,2003,1.235
GNB,2003,1.236
GUY,2003,1.202
HTI,2003,1.163
VAT,2003,1.615
HND,2003,0.763
HUN,2003,0.74
ISL,2003,1.855
IND,2003,0.675
IDN,2003,0.567
IRN,2003,0.883
IRQ,2003,0.848
IRL,2003,1.015
IMN,2003,1.048
ISR,2003,0.477
ITA,2003,1.54
JAM,2003,0.961
JPN,2003,0.293
JOR,2003,0.38
KAZ,2003,0.122
KEN,2003,0.868
KIR,2003,0.537
PRK,2003,1.008
KOR,2003,0.633
KWT,2003,1.584
KGZ,2003,0.452
LAO,2003,0.977
LVA,2003,0.242
LBN,2003,0.604
LSO,2003,0.662
LBR,2003,1.056
LBY,2003,0.859
LIE,2003,1.686
LTU,2003,0.189
LUX,2003,1.694
MDG,2003,0.628
MWI,2003,0.937
MYS,2003,0.693
MDV,2003,0.535
MLI,2003,1.31
MLT,2003,1.353
MHL,2003,0.318
MTQ,2003,0.644
MRT,2003,1.192
MUS,2003,0.961
MYT,2003,0.437
MEX,2003,0.806
FSM,2003,0.085
MDA,2003,-0.224
MCO,2003,1.643
MNG,2003,0.525
MNE,2003,
MSR,2003,0.65
MAR,2003,1.69
MOZ,2003,0.541
MMR,2003,0.719
NAM,2003,1.003
NRU,2003,
NPL,2003,0.397
NLD,2003,1.209
NCL,2003,0.399
NZL,2003,0.23
NIC,2003,0.689
NER,2003,0.988
NGA,2003,0.838
NIU,2003,
NFK,2003,0.225
MKD,2003,0.656
NOR,2003,1.116
OMN,2003,0.951
PAK,2003,0.534
PLW,2003,0.433
PAN,2003,0.687
PNG,2003,0.496
PRY,2003,0.708
PER,2003,0.744
PHL,2003,0.688
PCN,2003,-0.196
POL,2003,0.369
PRT,2003,1.446
PRI,2003,0.913
QAT,2003,1.24
ROU,2003,0.14
RUS,2003,1.002
RWA,2003,0.89
SHN,2003,1.488
SPM,2003,0.208
WSM,2003,0.624
SMR,2003,1.659
STP,2003,0.866
SAU,2003,0.927
SEN,2003,1.148
SRB,2003,
SYC,2003,0.723
SLE,2003,1.298
SGP,2003,0.834
SVK,2003,0.682
SVN,2003,1.482
SLB,2003,0.354
SOM,2003,1.225
ZAF,2003,0.834
SSD,2003,
ESP,2003,1.626
LKA,2003,0.891
KNA,2003,0.65
LCA,2003,0.711
VCT,2003,0.751
SDN,2003,
SUR,2003,0.994
SWE,2003,0.932
CHE,2003,1.845
SYR,2003,0.51
TWN,2003,0.839
TJK,2003,0.619
TZA,2003,0.983
THA,2003,0.803
TLS,2003,0.396
TGO,2003,1.043
TKL,2003,
TON,2003,0.551
TTO,2003,0.678
TUN,2003,1.752
TUR,2003,0.288
TKM,2003,0.042
TCA,2003,
TUV,2003,0.483
UGA,2003,0.793
UKR,2003,-0.269
ARE,2003,1.095
GBR,2003,1.188
USA,2003,0.992
VIR,2003,0.758
URY,2003,0.375
UZB,2003,0.132
VUT,2003,0.342
VEN,2003,0.853
VNM,2003,1.054
WLF,2003,0.582
PSE,2003,0.472
ESH,2003,1.435
WLD,2003,0.895
YEM,2003,
ZMB,2003,0.951
ZWE,2003,0.497
AFG,2004,1.37
ALB,2004,0.453
DZA,2004,1.034
ASM,2004,0.28
AND,2004,0.887
AGO,2004,0.397
AIA,2004,0.374
ATG,2004,0.331
ARG,2004,0.384
ARM,2004,1.17
ABW,2004,0.425
AUS,2004,0.666
AUT,2004,0.857
AZE,2004,1.284
BHS,2004,0.449
BHR,2004,1.389
BGD,2004,0.418
BRB,2004,0.614
BLR,2004,0.934
BEL,2004,1.094
BLZ,2004,0.64
BEN,2004,0.764
BTN,2004,0.478
BOL,2004,1.091
BIH,2004,0.607
BWA,2004,0.277
BRA,2004,0.804
VGB,2004,0.417
BRN,2004,0.562
BGR,2004,0.522
BFA,2004,0.929
BDI,2004,1.061
CPV,2004,0.985
KHM,2004,0.582
CMR,2004,0.912
CAN,2004,0.508
CYM,2004,
CAF,2004,1.255
TCD,2004,0.855
CHL,2004,0.43
HKG,2004,0.67
MAC,2004,0.67
CHN,2004,1.126
COL,2004,0.519
COM,2004,0.276
COD,2004,0.915
COG,2004,0.859
COK,2004,0.493
CRI,2004,0.653
HRV,2004,0.684
CUB,2004,0.653
CYP,2004,0.684
CZE,2004,0.842
DNK,2004,1.04
DJI,2004,1.03
DMA,2004,0.314
DOM,2004,0.641
ECU,2004,0.718
EGY,2004,0.643
SLV,2004,0.747
GNQ,2004,0.756
ERI,2004,1.116
EST,2004,1.179
SWZ,2004,0.233
ETH,2004,0.874
FLK,2004,
FRO,2004,1.029
FJI,2004,0.43
FIN,2004,1.25
FRA,2004,0.945
PYF,2004,0.395
GAB,2004,0.764
GMB,2004,1.228
GEO,2004,0.89
DEU,2004,1.001
GHA,2004,0.794
GIB,2004,1.056
GRC,2004,0.349
GRL,2004,1.454
GRD,2004,0.34
GLP,2004,0.346
GTM,2004,0.62
GUF,2004,0.96
GIN,2004,1.256
GNB,2004,1.306
GUY,2004,0.998
HTI,2004,0.83
VAT,2004,0.601
HND,2004,0.65
HUN,2004,0.582
ISL,2004,1.305
IND,2004,0.563
IDN,2004,0.524
IRN,2004,1.463
IRQ,2004,0.954
IRL,2004,0.887
IMN,2004,0.948
ISR,2004,0.477
ITA,2004,0.769
JAM,2004,0.791
JPN,2004,1.089
JOR,2004,0.5
KAZ,2004,2.159
KEN,2004,0.673
KIR,2004,
PRK,2004,1.656
KOR,2004,1.209
KWT,2004,1.54
KGZ,2004,1.499
LAO,2004,0.401
LVA,2004,1.014
LBN,2004,0.629
LSO,2004,0.707
LBR,2004,0.921
LBY,2004,0.654
LIE,2004,0.921
LTU,2004,0.886
LUX,2004,1.016
MDG,2004,0.384
MWI,2004,0.871
MYS,2004,0.658
MDV,2004,0.404
MLI,2004,1.247
MLT,2004,0.649
MHL,2004,0.458
MTQ,2004,0.355
MRT,2004,1.283
MUS,2004,0.575
MYT,2004,0.343
MEX,2004,0.289
FSM,2004,0.276
MDA,2004,0.703
MCO,2004,0.854
MNG,2004,1.764
MNE,2004,
MSR,2004,0.331
MAR,2004,1.133
MOZ,2004,0.39
MMR,2004,0.673
NAM,2004,0.705
NRU,2004,
NPL,2004,0.456
NLD,2004,1.16
NCL,2004,0.518
NZL,2004,0.025
NIC,2004,0.644
NER,2004,0.723
NGA,2004,0.757
NIU,2004,
NFK,2004,0.474
MKD,2004,0.383
NOR,2004,1.315
OMN,2004,0.891
PAK,2004,0.997
PLW,2004,0.699
PAN,2004,0.443
PNG,2004,0.246
PRY,2004,0.369
PER,2004,0.71
PHL,2004,0.59
PCN,2004,-0.592
POL,2004,0.786
PRT,2004,1.002
PRI,2004,0.452
QAT,2004,1.285
ROU,2004,0.56
RUS,2004,1.409
RWA,2004,0.839
SHN,2004,1.454
SPM,2004,0.634
WSM,2004,0.198
SMR,2004,0.919
STP,2004,0.694
SAU,2004,0.922
SEN,2004,1.129
SRB,2004,
SYC,2004,0.456
SLE,2004,1.585
SGP,2004,0.823
SVK,2004,0.58
SVN,2004,0.785
SLB,2004,0.415
SOM,2004,0.633
ZAF,2004,0.938
SSD,2004,
ESP,2004,1.022
LKA,2004,0.804
KNA,2004,0.331
LCA,2004,0.398
VCT,2004,0.344
SDN,2004,
SUR,2004,0.996
SWE,2004,1.217
CHE,2004,0.973
SYR,2004,0.614
TWN,2004,0.403
TJK,2004,1.262
TZA,2004,0.857
THA,2004,0.549
TLS,2004,0.46
TGO,2004,0.771
TKL,2004,
TON,2004,0.644
TTO,2004,0.316
TUN,2004,0.971
TUR,2004,0.571
TKM,2004,1.643
TCA,2004,
TUV,2004,0.56
UGA,2004,0.71
UKR,2004,0.924
ARE,2004,1.037
GBR,2004,1.03
USA,2004,0.866
VIR,2004,0.42
URY,2004,0.53
UZB,2004,1.912
VUT,2004,0.457
VEN,2004,0.508
VNM,2004,0.413
WLF,2004,0.547
PSE,2004,0.47
ESH,2004,1.585
WLD,2004,0.916
YEM,2004,
ZMB,2004,0.539
ZWE,2004,0.227
AFG,2005,0.477
ALB,2005,0.216
DZA,2005,1.305
ASM,2005,0.959
AND,2005,0.807
AGO,2005,1.084
AIA,2005,0.656
ATG,2005,0.651
ARG,2005,0.171
ARM,2005,0.544
ABW,2005,0.607
AUS,2005,1.137
AUT,2005,0.657
AZE,2005,0.844
BHS,2005,0.514
BHR,2005,1.066
BGD,2005,0.766
BRB,2005,1.056
BLR,2005,1.28
BEL,2005,1.202
BLZ,2005,0.793
BEN,2005,1.147
BTN,2005,0.759
BOL,2005,1.052
BIH,2005,0.152
BWA,2005,1.496
BRA,2005,1.117
VGB,2005,0.66
BRN,2005,0.822
BGR,2005,0.213
BFA,2005,1.517
BDI,2005,
CPV,2005,0.498
KHM,2005,0.72
CMR,2005,1.144
CAN,2005,1.298
CYM,2005,0.668
CAF,2005,1.315
TCD,2005,1.214
CHL,2005,0.08
HKG,2005,0.742
MAC,2005,0.742
CHN,2005,1.066
COL,2005,0.605
COM,2005,0.371
COD,2005,1.081
COG,2005,0.802
COK,2005,0.365
CRI,2005,0.582
HRV,2005,0.31
CUB,2005,0.609
CYP,2005,0.414
CZE,2005,0.771
DNK,2005,1.29
DJI,2005,1.291
DMA,2005,0.638
DOM,2005,0.829
ECU,2005,0.708
EGY,2005,0.517
SLV,2005,0.684
GNQ,2005,0.752
ERI,2005,0.78
EST,2005,1.587
SWZ,2005,0.849
ETH,2005,1.119
FLK,2005,
FRO,2005,0.49
FJI,2005,0.591
FIN,2005,2.22
FRA,2005,0.998
PYF,2005,0.538
GAB,2005,0.719
GMB,2005,1.632
GEO,2005,0.536
DEU,2005,1.028
GHA,2005,1.019
GIB,2005,0.873
GRC,2005,0.222
GRL,2005,1.866
GRD,2005,0.866
GLP,2005,0.648
GTM,2005,0.778
GUF,2005,1.439
GIN,2005,1.37
GNB,2005,1.64
GUY,2005,1.099
HTI,2005,1.004
VAT,2005,0.539
HND,2005,1.127
HUN,2005,0.268
ISL,2005,0.518
IND,2005,0.58
IDN,2005,0.702
IRN,2005,0.807
IRQ,2005,0.404
IRL,2005,1.164
IMN,2005,1.164
ISR,2005,0.115
ITA,2005,0.587
JAM,2005,0.881
JPN,2005,0.706
JOR,2005,-0.02
KAZ,2005,1.561
KEN,2005,0.794
KIR,2005,
PRK,2005,0.947
KOR,2005,0.964
KWT,2005,0.751
KGZ,2005,1.16
LAO,2005,0.878
LVA,2005,1.343
LBN,2005,0.265
LSO,2005,0.75
LBR,2005,1.127
LBY,2005,0.63
LIE,2005,0.69
LTU,2005,1.21
LUX,2005,1.131
MDG,2005,0.634
MWI,2005,1.34
MYS,2005,0.867
MDV,2005,0.859
MLI,2005,1.426
MLT,2005,0.612
MHL,2005,0.335
MTQ,2005,0.669
MRT,2005,1.343
MUS,2005,0.625
MYT,2005,0.483
MEX,2005,0.727
FSM,2005,0.181
MDA,2005,0.874
MCO,2005,0.786
MNG,2005,0.966
MNE,2005,
MSR,2005,0.651
MAR,2005,1.284
MOZ,2005,1.076
MMR,2005,1.004
NAM,2005,1.083
NRU,2005,
NPL,2005,0.789
NLD,2005,1.251
NCL,2005,0.377
NZL,2005,0.433
NIC,2005,0.932
NER,2005,1.37
NGA,2005,1.255
NIU,2005,
NFK,2005,0.506
MKD,2005,0.174
NOR,2005,1.782
OMN,2005,0.937
PAK,2005,0.174
PLW,2005,0.527
PAN,2005,0.574
PNG,2005,0.752
PRY,2005,0.55
PER,2005,0.819
PHL,2005,0.681
PCN,2005,-0.363
POL,2005,0.889
PRT,2005,0.966
PRI,2005,0.704
QAT,2005,0.902
ROU,2005,0.311
RUS,2005,1.718
RWA,2005,
SHN,2005,1.345
SPM,2005,0.971
WSM,2005,0.875
SMR,2005,0.53
STP,2005,0.577
SAU,2005,0.483
SEN,2005,1.381
SRB,2005,
SYC,2005,0.699
SLE,2005,1.603
SGP,2005,1.037
SVK,2005,0.428
SVN,2005,0.535
SLB,2005,0.516
SOM,2005,1.19
ZAF,2005,1.097
SSD,2005,
ESP,2005,0.906
LKA,2005,0.869
KNA,2005,0.651
LCA,2005,0.804
VCT,2005,0.86
SDN,2005,
SUR,2005,1.395
SWE,2005,1.843
CHE,2005,0.809
SYR,2005,0.21
TWN,2005,0.622
TJK,2005,0.778
TZA,2005,1.05
THA,2005,0.887
TLS,2005,1.126
TGO,2005,0.992
TKL,2005,
TON,2005,0.754
TTO,2005,0.982
TUN,2005,1.091
TUR,2005,0.411
TKM,2005,1.288
TCA,2005,
TUV,2005,0.71
UGA,2005,1.354
UKR,2005,1.031
ARE,2005,0.733
GBR,2005,1.114
USA,2005,1.157
VIR,2005,0.667
URY,2005,0.854
UZB,2005,1.356
VUT,2005,0.546
VEN,2005,0.664
VNM,2005,0.861
WLF,2005,0.675
PSE,2005,0.107
ESH,2005,1.214
WLD,2005,1.109
YEM,2005,
ZMB,2005,1.156
ZWE,2005,1.33
AFG,2006,1.754
ALB,2006,0.493
DZA,2006,1.429
ASM,2006,0.561
AND,2006,1.438
AGO,2006,0.455
AIA,2006,0.441
ATG,2006,0.382
ARG,2006,0.508
ARM,2006,1.659
ABW,2006,0.308
AUS,2006,0.653
AUT,2006,0.94
AZE,2006,1.486
BHS,2006,0.448
BHR,2006,1.839
BGD,2006,1.007
BRB,2006,0.765
BLR,2006,0.65
BEL,2006,1.401
BLZ,2006,0.595
BEN,2006,1.08
BTN,2006,0.993
BOL,2006,1.18
BIH,2006,0.633
BWA,2006,-0.239
BRA,2006,0.817
VGB,2006,0.499
BRN,2006,0.472
BGR,2006,0.581
BFA,2006,1.234
BDI,2006,
CPV,2006,0.682
KHM,2006,0.722
CMR,2006,1.125
CAN,2006,2.348
CYM,2006,0.605
CAF,2006,1.186
TCD,2006,1.415
CHL,2006,0.462
HKG,2006,0.926
MAC,2006,0.926
CHN,2006,1.247
COL,2006,0.471
COM,2006,0.177
COD,2006,0.846
COG,2006,0.708
COK,2006,0.564
CRI,2006,0.52
HRV,2006,0.74
CUB,2006,0.742
CYP,2006,0.697
CZE,2006,0.974
DNK,2006,1.356
DJI,2006,0.977
DMA,2006,0.531
DOM,2006,0.839
ECU,2006,0.68
EGY,2006,0.745
SLV,2006,0.652
GNQ,2006,0.576
ERI,2006,0.921
EST,2006,1.239
SWZ,2006,0.05
ETH,2006,0.971
FLK,2006,
FRO,2006,1.137
FJI,2006,0.59
FIN,2006,1.221
FRA,2006,1.28
PYF,2006,0.696
GAB,2006,0.682
GMB,2006,1.367
GEO,2006,1.258
DEU,2006,1.26
GHA,2006,1.039
GIB,2006,1.457
GRC,2006,0.272
GRL,2006,1.707
GRD,2006,0.575
GLP,2006,0.468
GTM,2006,0.567
GUF,2006,0.933
GIN,2006,1.32
GNB,2006,1.428
GUY,2006,0.932
