Country,ISO,Series Name,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Belgium,BEL,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,56878638356,59440947498,66013013270,75336205694,78127777793,71654585324,80874392761,82605051542,84493073591,90404355158,90268426825,93329877016,95923342061,98442858970,1.04814E+11,1.05163E+11,1.08041E+11,1.13407E+11,1.24331E+11,1.34466E+11,1.40617E+11,1.44913E+11,1.50227E+11,1.49562E+11,1.62017E+11,1.70105E+11,1.78568E+11,1.95515E+11,2.03605E+11,2.13478E+11,2.39943E+11,2.40855E+11,2.49161E+11,2.53186E+11,2.68866E+11,2.83684E+11,2.99856E+11,3.16156E+11,3.21871E+11,2.85579E+11,3.15391E+11,3.29997E+11,3.28391E+11,3.29549E+11,3.46675E+11,3.59577E+11,3.81877E+11,4.0277E+11,4.05188E+11,4.13232E+11,3.90673E+11
Belize,BLZ,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,566.3328961,..,..,..,..,..,..,..,..,..,..,..,..,..,560.5462252,567.3049141,590.3795591,595.2560102,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,284752725.6,287616597,233516710.8,209659065.1,244163042.3,205947106.8,209853370.8,269219002.9,323453695.1,368186464.7,354769764.6,354756656.2,388787002.7,397112584.3,422207007,400180888,422264697.2,473425533.7,522873212.7,651513694.2,782408562,776158169.7,796481788.6,813312021.3,752663438.5,802758664.9,806470112.5,809345307.1,916096045.7,720528445.9,798754745.6,895839051.3,911461490.4,1007324920,1042430130,1142213050,1160393579,1153294361,1103533151,1145127364,997026312.9
Belize,BLZ,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110583648,165253977.4,120344064.1,114752903.9,159912198.8,148160607.8,170854591.2,199623258.3,215915849,237628008,259612887.8,253496016.7,328208326.1,338141958,361266301.6,342759416.4,361064342.8,408593140,429470736.8,478748686.4,527663541.2,553606030.2,606613453.9,686678928.8,725995592.3,800936197.7,987643406.4,854492154.5,888764217.4,801967241.2,914345826.3,940479559.7,998417316.3,1035901506,1021025689,1013861000,917197970.7,973504314.4,1046601253,972863840.4,835876161.5
Benin,BEN,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,371.2246458,380.2786405,379.7209798,379.0356003,380.8558643,360.2360682,363.6207949,368.1826527,364.6688051,363.8664023,353.4629486,355.6671726,355.4612197,353.9365077,360.5617106,353.5730697,348.1393137,346.623598,337.992166,333.6986383,327.5400156,324.1472635,320.3537784,316.2938391,312.7616182,352.9194299,355.2380555,340.2011506,344.5616529,288.7686562,297.9549306,310.0394769,317.1983561,321.3553595,313.1063865,358.8986737,379.2278696,376.8597255,384.4468794,397.1365504,396.7712555,399.6762753,406.2479697,416.7906195,..,..,..,..,..,..
Benin,BEN,Imports of goods and services (constant 2015 US$),189092484.4,153130372.9,160089900.4,199532476.2,218093741.3,277255849.6,356140359.3,444305159.1,468665425.6,509267254,551032187.3,659263083.7,711460217,702520239.7,711171731.1,754424349.1,704751916.3,771826490.5,815958223.6,1040219409,1227147243,1343019802,1030147837,761903658.2,762805336.7,899857839.1,778246134.5,713430123.6,736838875.2,567059461.5,767631072,969160753.4,1156093838,1252492379,1103339869,1164091033,1042295348,1161484127,1276214981,1488214287,1330723215,1509663274,1457692422,1532299932,1474045695,1409064269,1513679713,1972357662,2055468993,2152935168,2311167745,2205626031,2456235645,3212044041,3683947783,3648295526,3768810732,4308626250,4517107153,4670415418,3746009206
Benin,BEN,Exports of goods and services (constant 2015 US$),88037515.43,68934916.85,50663003.64,55646408.27,83054127.26,122924038.3,135382904.7,149502468.5,167774970.6,235051245.7,266612153.9,341362718.8,357312542.4,332269153.2,329212970.5,331375082.5,319523550,342107788.9,375198952.2,509883155.4,565183752.4,617134833.1,457270147.1,331709644.3,455111526.7,581031714.5,450940223.2,422877125.3,345895077.7,352656991.2,616946148.5,723640628.6,875446742,993600956.6,1017938916,1000047047,972220625,1064221200,1182195662,1345201298,1203033049,1260637051,1386999169,1411935277,1338386375,1472663481,1468317534,1868212352,2056764568,1956709499,2050588291,1851461999,2297584676,2819876645,3523229748,2815204774,3194730416,3418361545,3589279622,3898480192,2925224392
Bermuda,BMU,Energy use (kg of oil equivalent per capita),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Imports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1575610912,1552149000,1647976555,1594321044,1666243215,1686467380,1327414218
Bermuda,BMU,Exports of goods and services (constant 2015 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3186804397,3325330000,3569037750,3203833887,3391300369,3280106702,3002796739
